Date,Hour,Minute,Volume
20190209,22,0,13923.00
20190209,23,0,13280.20
20190209,24,0,12402.30
20190210,1,0,11784.50
20190210,2,0,11545.20
20190210,3,0,11748.80
20190210,4,0,11783.50
20190210,5,0,11615.10
20190210,6,0,12034.10
20190210,7,0,12626.30
20190210,8,0,13344.60
20190210,9,0,13909.00
20190210,10,0,13722.60
20190210,11,0,13687.90
20190210,12,0,13021.00
20190210,13,0,12844.50
20190210,14,0,12806.10
20190210,15,0,12874.00
20190210,16,0,13184.20
20190210,17,0,14042.80
20190210,18,0,15536.80
20190210,19,0,15220.00
20190210,20,0,14772.50
20190210,21,0,14402.50
20190210,22,0,13496.50
20190210,23,0,12463.60
20190210,24,0,11664.70
20190211,1,0,11829.30
20190211,2,0,11929.60
20190211,3,0,11843.00
20190211,4,0,11913.10
20190211,5,0,11861.00
20190211,6,0,12454.20
20190211,7,0,14426.40
20190211,8,0,15678.10
20190211,9,0,15543.40
20190211,10,0,15286.00
20190211,11,0,15096.30
20190211,12,0,14713.10
20190211,13,0,14385.10
20190211,14,0,14156.40
20190211,15,0,14008.40
20190211,16,0,14255.00
20190211,17,0,14977.50
20190211,18,0,16608.30
20190211,19,0,16498.60
20190211,20,0,16106.50
20190211,21,0,15546.30
20190211,22,0,14657.40
20190211,23,0,13480.10
20190211,24,0,12522.30
20190212,1,0,12652.50
20190212,2,0,12383.30
20190212,3,0,12327.50
20190212,4,0,12352.20
20190212,5,0,12666.20
20190212,6,0,13502.60
20190212,7,0,15504.30
20190212,8,0,16962.60
20190212,9,0,16854.40
20190212,10,0,16686.50
20190212,11,0,16705.10
20190212,12,0,16666.30
20190212,13,0,16499.60
20190212,14,0,16483.20
20190212,15,0,16425.80
20190212,16,0,16400.80
20190212,17,0,17085.80
20190212,18,0,18182.30
20190212,19,0,17542.80
20190212,20,0,16791.80
20190212,21,0,16042.20
20190212,22,0,15033.20
20190212,23,0,13676.20
20190212,24,0,12574.10
20190213,1,0,11151.50
20190213,2,0,11111.00
20190213,3,0,11065.10
20190213,4,0,11270.10
20190213,5,0,11421.80
20190213,6,0,11742.50
20190213,7,0,13596.00
20190213,8,0,14399.70
20190213,9,0,14557.90
20190213,10,0,14416.50
20190213,11,0,14411.10
20190213,12,0,14150.10
20190213,13,0,13949.10
20190213,14,0,13897.50
20190213,15,0,13922.60
20190213,16,0,14086.80
20190213,17,0,14739.40
20190213,18,0,15971.70
20190213,19,0,15997.40
20190213,20,0,15463.90
20190213,21,0,15060.90
20190213,22,0,14122.70
20190213,23,0,13056.50
20190213,24,0,12032.70
20190214,1,0,11622.80
20190214,2,0,11567.40
20190214,3,0,11501.60
20190214,4,0,11599.60
20190214,5,0,11764.20
20190214,6,0,12594.70
20190214,7,0,14459.70
20190214,8,0,15453.40
20190214,9,0,15180.70
20190214,10,0,14572.60
20190214,11,0,14418.90
